Fronte;Retro
"Teorema: unicità del limite";"Enunciato: se $\lim_{x\to c} f(x)=L$ e anche $\lim_{x\to c} f(x)=M$, allora $L=M$.<br>Dimostrazione: supponi per assurdo $L\ne M$ e prendi due intorni disgiunti di $L$ e $M$; per definizione di limite, definitivamente $f(x)$ dovrebbe stare in entrambi, impossibile. Quindi $L=M$."
"Teorema: algebra dei limiti";"Enunciato: se $f\to L$ e $g\to M$, allora $f+g\to L+M$, $fg\to LM$ e, se $M\ne0$, $f/g\to L/M$.<br>Dimostrazione: per la somma usa $|(f+g)-(L+M)|\le |f-L|+|g-M|$ e scegli gli intorni in modo che ciascun errore sia $<\varepsilon/2$. Per prodotto e quoziente si riscrive l'errore e si usa che una funzione con limite finito è definitivamente limitata."
"Teorema: permanenza del segno I";"Enunciato: se $\lim_{x\to c} f(x)=L$ e $L>0$, allora $f(x)>0$ definitivamente per $x\to c$. Se $L<0$, allora $f(x)<0$ definitivamente.<br>Dimostrazione: caso $L>0$. Scegli $\varepsilon=L/2$. Per definizione di limite, vicino a $c$ si ha $|f(x)-L|<L/2$, quindi $f(x)>L/2>0$. Il caso $L<0$ è analogo con $\varepsilon=|L|/2$."
"Teorema: permanenza del segno II";"Enunciato: se $f(x)\ge0$ definitivamente e $\lim_{x\to c} f(x)=L$ finito, allora $L\ge0$. Se $f(x)\le0$ definitivamente, allora $L\le0$.<br>Dimostrazione: per assurdo, se $L<0$, per la permanenza del segno I avremmo $f(x)<0$ definitivamente, contro $f(x)\ge0$. Quindi $L\ge0$."
"Teorema del confronto / dei carabinieri";"Enunciato: se $g(x)\le f(x)\le h(x)$ definitivamente per $x\to c$ e $\lim g(x)=\lim h(x)=L$, allora $\lim f(x)=L$.<br>Dimostrazione: dato $\varepsilon>0$, vicino a $c$ valgono $L-\varepsilon<g(x)$ e $h(x)<L+\varepsilon$. Poiché $g(x)\le f(x)\le h(x)$, segue $L-\varepsilon<f(x)<L+\varepsilon$, cioè $|f(x)-L|<\varepsilon$."
"Teorema del confronto per limiti infiniti";"Enunciato: se $f(x)\ge g(x)$ definitivamente e $g(x)\to +\infty$, allora $f(x)\to +\infty$. Se $f(x)\le g(x)$ definitivamente e $g(x)\to -\infty$, allora $f(x)\to -\infty$.<br>Dimostrazione: caso $+\infty$. Dato $M>0$, poiché $g\to +\infty$, definitivamente $g(x)>M$. Allora anche $f(x)\ge g(x)>M$. Quindi $f\to +\infty$."
"Teorema: limite delle funzioni monotone";"Enunciato: una funzione monotona su un intervallo ha limite agli estremi dell'intervallo, finito se è limitata nella direzione considerata, infinito se non lo è.<br>Dimostrazione: se $f$ è crescente e superiormente limitata, il candidato limite è $\sup f$. Per definizione di estremo superiore, esistono valori di $f$ arbitrariamente vicini al supremo; per monotonia, da quel punto in poi tutti i valori restano tra $\sup f-\varepsilon$ e $\sup f$. Gli altri casi sono analoghi."
"Teorema: continuità di somma, prodotto e quoziente";"Enunciato: se $f$ e $g$ sono continue in $c$, allora $f+g$ e $fg$ sono continue in $c$; se $g(c)\ne0$, anche $f/g$ è continua in $c$.<br>Dimostrazione: segue direttamente dall'algebra dei limiti: $\lim(f+g)=f(c)+g(c)$, $\lim(fg)=f(c)g(c)$ e $\lim(f/g)=f(c)/g(c)$."
"Teorema: continuità della funzione composta";"Enunciato: se $f$ è continua in $c$ e $g$ è continua in $f(c)$, allora $g\circ f$ è continua in $c$.<br>Dimostrazione: poiché $f(x)\to f(c)$ per $x\to c$ e $g$ è continua in $f(c)$, segue $g(f(x))\to g(f(c))$. Quindi $g\circ f$ è continua in $c$."
"Teorema di Weierstrass";"Enunciato: se $f$ è continua su un intervallo chiuso e limitato $[a,b]$, allora ammette massimo assoluto e minimo assoluto su $[a,b]$.<br>Dimostrazione: non sempre richiesta completa. Idea: l'immagine di un compatto tramite funzione continua è compatta; quindi è chiusa e limitata in $\mathbb R$. Essendo limitata ha supremo e infimo; essendo chiusa, questi valori sono effettivamente assunti dalla funzione."
"Teorema dei valori intermedi";"Enunciato: se $f$ è continua su $[a,b]$ e $y$ è compreso tra $f(a)$ e $f(b)$, allora esiste $c\in[a,b]$ tale che $f(c)=y$.<br>Dimostrazione: si applica il teorema di esistenza degli zeri alla funzione $g(x)=f(x)-y$. Se $y$ è tra $f(a)$ e $f(b)$, allora $g(a)$ e $g(b)$ hanno segno opposto o uno è zero; quindi esiste $c$ con $g(c)=0$, cioè $f(c)=y$."
"Teorema: derivabilità implica continuità";"Enunciato: se $f$ è derivabile in $c$, allora $f$ è continua in $c$.<br>Dimostrazione: bisogna provare $\lim_{x\to c}(f(x)-f(c))=0$. Scrivi $f(x)-f(c)=\frac{f(x)-f(c)}{x-c}(x-c)$. Il primo fattore tende a $f'(c)$, finito; il secondo tende a $0$. Il prodotto tende a $0$."
"Teorema di Lagrange";"Enunciato: se $f$ è continua su $[a,b]$ e derivabile su $(a,b)$, allora esiste $c\in(a,b)$ tale che $f'(c)=\frac{f(b)-f(a)}{b-a}$.<br>Dimostrazione: si considera la retta secante tra $(a,f(a))$ e $(b,f(b))$ e la funzione $g(x)=f(x)-\left[f(a)+\frac{f(b)-f(a)}{b-a}(x-a)\right]$. Allora $g(a)=g(b)=0$. Per Rolle esiste $c$ con $g'(c)=0$, quindi $f'(c)=\frac{f(b)-f(a)}{b-a}$."
